City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,invercargill,-46.4,168.35,40.01,86,77,8.01,NZ,1723492394
85,cozumel,20.5083,-86.9458,91.47,62,40,10.36,MX,1723492394
86,cam ranh,11.9214,109.1591,80.56,83,20,0.0,VN,1723492394
87,port macquarie,-31.4333,152.9167,63.07,90,100,5.99,AU,1723492394
88,iqaluit,63.7506,-68.5145,44.33,70,20,5.75,CA,1723492269
89,yueyang,29.3333,113.0919,77.54,88,11,4.47,CN,1723492394
90,bardai,11.65,7.2333,72.46,90,100,10.16,NG,1723492395
91,guatrache,-37.6678,-63.5302,60.04,32,1,14.76,AR,1723492395
92,margaret river,-33.95,115.0667,57.54,73,86,13.38,AU,1723492395
93,tampakan,6.4442,124.9264,74.44,96,0,1.52,PH,1723492395
94,samtse,26.899,89.0995,75.65,95,100,2.01,BT,1723492395
95,tiksi,71.6872,128.8694,35.49,99,100,10.31,RU,1723492395
96,la'ie,21.6477,-157.9253,82.11,74,94,8.99,US,1723492158
97,canutama,-6.5339,-64.3831,99.97,20,3,5.23,BR,1723492395
98,fale old settlement,-9.3852,-171.2468,81.46,79,57,15.99,TK,1723492395
99,wailua homesteads,22.0669,-159.378,80.74,75,75,13.8,US,1723492395
100,priargunsk,50.3691,119.1012,62.33,71,0,2.35,RU,1723492395
101,ancud,-41.8697,-73.8203,49.69,81,100,10.56,CL,1723492395
102,conceicao do araguaia,-8.2578,-49.2647,99.19,18,62,9.57,BR,1723492395
103,sitka,57.0531,-135.33,62.49,77,75,12.66,US,1723492395
104,marica,-22.9194,-42.8186,66.31,59,66,20.04,BR,1723492395
105,sinabang,2.4803,96.3801,77.88,85,44,2.44,ID,1723492396
106,veinticinco de mayo,-35.4323,-60.1727,55.63,39,0,6.02,AR,1723492396
107,enewetak,11.3474,162.3373,83.26,77,100,15.99,MH,1723492396
108,batesville,35.7698,-91.641,83.95,58,0,5.75,US,1723492396
109,zunyi,27.6867,106.9072,69.4,89,12,0.85,CN,1723492396
110,zouerate,22.7187,-12.4521,103.32,7,5,8.21,MR,1723492396
111,polyarnyy,69.1989,33.4478,60.13,73,99,5.91,RU,1723492396
112,kassala,15.451,36.4,82.98,68,100,4.59,SD,1723492396
113,at taj,24.2049,23.2857,93.97,40,13,3.67,LY,1723492396
114,kill devil hills,36.0307,-75.676,72.99,93,100,5.75,US,1723492332
115,bikenibeu village,1.3673,173.1241,84.16,79,40,4.61,KI,1723492396
116,obock,12.25,43.0833,88.54,41,100,13.6,DJ,1723492396
117,mana,5.6592,-53.7767,84.22,72,2,13.8,GF,1723492396
118,road town,18.4167,-64.6167,84.24,79,20,16.11,VG,1723492396
119,dudinka,69.4058,86.1778,49.33,76,75,5.26,RU,1723492396
120,port arthur,38.8,121.2667,78.51,85,4,7.34,CN,1723492175
121,champerico,14.3,-91.9167,85.64,72,91,7.47,GT,1723492396
122,ouesso,1.6136,16.0517,76.19,72,48,2.59,CG,1723492397
123,celestun,20.8667,-90.4,83.43,78,86,13.98,MX,1723492397
124,codrington,-38.2667,141.9667,54.79,64,45,16.87,AU,1723492397
125,ambovombe,-25.1667,46.0833,67.05,85,0,1.92,MG,1723492397
126,hasaki,35.7333,140.8333,80.55,90,5,8.43,JP,1723492397
127,mumbwa,-14.9783,27.0619,65.28,24,0,3.91,ZM,1723492397
128,saipan,15.1355,145.701,83.1,78,0,4.61,MP,1723492397
129,yerofey pavlovich,53.9667,121.9667,59.97,79,5,1.32,RU,1723492397
130,nikel,69.4128,30.222,59.63,73,61,5.08,RU,1723492397
131,valparaiso,-33.0393,-71.6273,64.04,61,0,8.05,CL,1723492005
132,lambarene,-0.7001,10.2406,78.82,73,100,7.94,GA,1723492397
133,las palmas,28.4204,-14.0131,74.19,73,0,16.11,ES,1723492397
134,fort bragg,35.139,-79.006,84.04,72,75,9.22,US,1723492397
135,avarua,-21.2078,-159.775,71.65,60,100,5.75,CK,1723492397
136,la ronge,55.1001,-105.2842,80.85,28,0,10.36,CA,1723492397
137,severo-yeniseyskiy,60.3725,93.0408,46.02,97,6,4.36,RU,1723492398
138,keflavik,64.0049,-22.5624,54.03,82,0,18.41,IS,1723492398
139,vorgashor,67.5833,63.95,50.43,77,99,11.14,RU,1723492398
140,el calafate,-50.3408,-72.2768,39.06,98,98,5.08,AR,1723492398
141,khilok,51.3674,110.4676,63.1,64,12,2.98,RU,1723492398
142,uturoa,-16.7333,-151.4333,77.5,82,100,7.4,PF,1723492398
143,fortuna,40.5982,-124.1573,68.94,61,75,17.27,US,1723492398
